variableMetadata	accession	description	uniprot_id
Q8JZR0_Long-chain-fatty-acid--C.	sp|Q8JZR0|ACSL5_MOUSE	Long-chain-fatty-acid--CoA ligase 5  OS=Mus musculus (Mouse) GN=Acsl5 PE=1 SV=1	Q8JZR0
P80314_T-complex protein 1 subu.	sp|P80314|TCPB_MOUSE	T-complex protein 1 subunit beta  OS=Mus musculus (Mouse) GN=Cct2 PE=1 SV=4	P80314
Q9D6Y9_1,4-alpha-glucan-branchi.	sp|Q9D6Y9|GLGB_MOUSE	1,4-alpha-glucan-branching enzyme  OS=Mus musculus (Mouse) GN=Gbe1 PE=1 SV=1	Q9D6Y9
P50285_Dimethylaniline monooxyg.	sp|P50285|FMO1_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 1  OS=Mus musculus (Mouse) GN=Fmo1 PE=1 SV=1	P50285
P97872_Dimethylaniline monooxyg.	sp|P97872|FMO5_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 5  OS=Mus musculus (Mouse) GN=Fmo5 PE=1 SV=4	P97872
P11714_Cytochrome P450 2D9	sp|P11714|CP2D9_MOUSE	Cytochrome P450 2D9  OS=Mus musculus (Mouse) GN=Cyp2d9 PE=1 SV=2	P11714
Q60759_Glutaryl-CoA dehydrogena.	sp|Q60759|GCDH_MOUSE	Glutaryl-CoA dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Gcdh PE=1 SV=2	Q60759
Q99MN9_Propionyl-CoA carboxylas.	sp|Q99MN9|PCCB_MOUSE	Propionyl-CoA carboxylase beta chain, mitochondrial  OS=Mus musculus (Mouse) GN=Pccb PE=1 SV=2	Q99MN9
O88428_Bifunctional 3'-phosphoa.	sp|O88428|PAPS2_MOUSE	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2  OS=Mus musculus (Mouse) GN=Papss2 PE=1 SV=2	O88428
Q8BFR5_Elongation factor Tu, mi.	sp|Q8BFR5|EFTU_MOUSE	Elongation factor Tu, mitochondrial  OS=Mus musculus (Mouse) GN=Tufm PE=1 SV=1	Q8BFR5
Q9DBG6_Dolichyl-diphosphooligos.	sp|Q9DBG6|RPN2_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2  OS=Mus musculus (Mouse) GN=Rpn2 PE=1 SV=1	Q9DBG6
P05201_Aspartate aminotransfera.	sp|P05201|AATC_MOUSE	Aspartate aminotransferase, cytoplasmic  OS=Mus musculus (Mouse) GN=Got1 PE=1 SV=3	P05201
O35643_AP-1 complex subunit bet.	sp|O35643|AP1B1_MOUSE	AP-1 complex subunit beta-1  OS=Mus musculus (Mouse) GN=Ap1b1 PE=1 SV=2	O35643
Q9EQF5_Dihydropyrimidinase	sp|Q9EQF5|DPYS_MOUSE	Dihydropyrimidinase  OS=Mus musculus (Mouse) GN=Dpys PE=1 SV=2	Q9EQF5
Q99LC5_Electron transfer flavop.	sp|Q99LC5|ETFA_MOUSE	Electron transfer flavoprotein subunit alpha, mitochondrial  OS=Mus musculus (Mouse) GN=Etfa PE=1 SV=2	Q99LC5
Q8QZT1_Acetyl-CoA acetyltransfe.	sp|Q8QZT1|THIL_MOUSE	Acetyl-CoA acetyltransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Acat1 PE=1 SV=1	Q8QZT1
Q9QXD1_Peroxisomal acyl-coenzym.	sp|Q9QXD1|ACOX2_MOUSE	Peroxisomal acyl-coenzyme A oxidase 2  OS=Mus musculus (Mouse) GN=Acox2 PE=1 SV=2	Q9QXD1
P25688_Uricase	sp|P25688|URIC_MOUSE	Uricase  OS=Mus musculus (Mouse) GN=Uox PE=1 SV=2	P25688
Q9CZ13_Cytochrome b-c1 complex .	sp|Q9CZ13|QCR1_MOUSE	Cytochrome b-c1 complex subunit 1, mitochondrial  OS=Mus musculus (Mouse) GN=Uqcrc1 PE=1 SV=2	Q9CZ13
Q61838_Pregnancy zone protein	sp|Q61838|PZP_MOUSE	Pregnancy zone protein  OS=Mus musculus (Mouse) GN=Pzp PE=1 SV=3	Q61838
Q9WVL0_Maleylacetoacetate isome.	sp|Q9WVL0|MAAI_MOUSE	Maleylacetoacetate isomerase  OS=Mus musculus (Mouse) GN=Gstz1 PE=1 SV=1	Q9WVL0
P56657_Cytochrome P450 2C40	sp|P56657|CP240_MOUSE	Cytochrome P450 2C40  OS=Mus musculus (Mouse) GN=Cyp2c40 PE=1 SV=2	P56657
Q8QZR3_Pyrethroid hydrolase Ces.	sp|Q8QZR3|EST2A_MOUSE	Pyrethroid hydrolase Ces2a  OS=Mus musculus (Mouse) GN=Ces2a PE=1 SV=1	Q8QZR3
Q05421_Cytochrome P450 2E1	sp|Q05421|CP2E1_MOUSE	Cytochrome P450 2E1  OS=Mus musculus (Mouse) GN=Cyp2e1 PE=1 SV=1	Q05421
P11983_T-complex protein 1 subu.	sp|P11983|TCPA_MOUSE	T-complex protein 1 subunit alpha  OS=Mus musculus (Mouse) GN=Tcp1 PE=1 SV=3	P11983
Q6XVG2_Cytochrome P450 2C54	sp|Q6XVG2|CP254_MOUSE	Cytochrome P450 2C54  OS=Mus musculus (Mouse) GN=Cyp2c54 PE=1 SV=1	Q6XVG2
P51881_ADP/ATP translocase 2	sp|P51881|ADT2_MOUSE	ADP/ATP translocase 2  OS=Mus musculus (Mouse) GN=Slc25a5 PE=1 SV=3	P51881
Q9CZS1_Aldehyde dehydrogenase X.	sp|Q9CZS1|AL1B1_MOUSE	Aldehyde dehydrogenase X, mitochondrial  OS=Mus musculus (Mouse) GN=Aldh1b1 PE=1 SV=1	Q9CZS1
Q99JY0_Trifunctional enzyme sub.	sp|Q99JY0|ECHB_MOUSE	Trifunctional enzyme subunit beta, mitochondrial  OS=Mus musculus (Mouse) GN=Hadhb PE=1 SV=1	Q99JY0
Q9Z2V4_Phosphoenolpyruvate carb.	sp|Q9Z2V4|PCKGC_MOUSE	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]  OS=Mus musculus (Mouse) GN=Pck1 PE=1 SV=1	Q9Z2V4
Q9QXF8_Glycine N-methyltransfer.	sp|Q9QXF8|GNMT_MOUSE	Glycine N-methyltransferase  OS=Mus musculus (Mouse) GN=Gnmt PE=1 SV=3	Q9QXF8
P08249_Malate dehydrogenase, mi.	sp|P08249|MDHM_MOUSE	Malate dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Mdh2 PE=1 SV=3	P08249
P16015_Carbonic anhydrase 3	sp|P16015|CAH3_MOUSE	Carbonic anhydrase 3  OS=Mus musculus (Mouse) GN=Ca3 PE=1 SV=3	P16015
Q921G7_Electron transfer flavop.	sp|Q921G7|ETFD_MOUSE	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial  OS=Mus musculus (Mouse) GN=Etfdh PE=1 SV=1	Q921G7
Q91WT9_Cystathionine beta-synth.	sp|Q91WT9|CBS_MOUSE	Cystathionine beta-synthase  OS=Mus musculus (Mouse) GN=Cbs PE=1 SV=3	Q91WT9
Q8QZR5_Alanine aminotransferase.	sp|Q8QZR5|ALAT1_MOUSE	Alanine aminotransferase 1  OS=Mus musculus (Mouse) GN=Gpt PE=1 SV=3	Q8QZR5
P15105_Glutamine synthetase	sp|P15105|GLNA_MOUSE	Glutamine synthetase  OS=Mus musculus (Mouse) GN=Glul PE=1 SV=6	P15105
P42932_T-complex protein 1 subu.	sp|P42932|TCPQ_MOUSE	T-complex protein 1 subunit theta  OS=Mus musculus (Mouse) GN=Cct8 PE=1 SV=3	P42932
P51174_Long-chain specific acyl.	sp|P51174|ACADL_MOUSE	Long-chain specific acyl-CoA dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Acadl PE=1 SV=2	P51174
Q3ULD5_Methylcrotonoyl-CoA carb.	sp|Q3ULD5|MCCB_MOUSE	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial  OS=Mus musculus (Mouse) GN=Mccc2 PE=1 SV=1	Q3ULD5
Q9Z2I8_Succinate--CoA ligase [G.	sp|Q9Z2I8|SUCB2_MOUSE	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial  OS=Mus musculus (Mouse) GN=Suclg2 PE=1 SV=3	Q9Z2I8
Q571F8_Glutaminase liver isofor.	sp|Q571F8|GLSL_MOUSE	Glutaminase liver isoform, mitochondrial  OS=Mus musculus (Mouse) GN=Gls2 PE=1 SV=2	Q571F8
Q9DB77_Cytochrome b-c1 complex .	sp|Q9DB77|QCR2_MOUSE	Cytochrome b-c1 complex subunit 2, mitochondrial  OS=Mus musculus (Mouse) GN=Uqcrc2 PE=1 SV=1	Q9DB77
P00329_Alcohol dehydrogenase 1	sp|P00329|ADH1_MOUSE	Alcohol dehydrogenase 1  OS=Mus musculus (Mouse) GN=Adh1 PE=1 SV=2	P00329
Q91YQ5_Dolichyl-diphosphooligos.	sp|Q91YQ5|RPN1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1  OS=Mus musculus (Mouse) GN=Rpn1 PE=1 SV=1	Q91YQ5
P06745_Glucose-6-phosphate isom.	sp|P06745|G6PI_MOUSE	Glucose-6-phosphate isomerase  OS=Mus musculus (Mouse) GN=Gpi PE=1 SV=4	P06745
P17427_AP-2 complex subunit alp.	sp|P17427|AP2A2_MOUSE	AP-2 complex subunit alpha-2  OS=Mus musculus (Mouse) GN=Ap2a2 PE=1 SV=2	P17427
Q8VCB3_Glycogen [starch] syntha.	sp|Q8VCB3|GYS2_MOUSE	Glycogen [starch] synthase, liver  OS=Mus musculus (Mouse) GN=Gys2 PE=1 SV=2	Q8VCB3
Q9D819_Inorganic pyrophosphatase	sp|Q9D819|IPYR_MOUSE	Inorganic pyrophosphatase  OS=Mus musculus (Mouse) GN=Ppa1 PE=1 SV=1	Q9D819
P30115_Glutathione S-transferas.	sp|P30115|GSTA3_MOUSE	Glutathione S-transferase A3  OS=Mus musculus (Mouse) GN=Gsta3 PE=1 SV=2	P30115
Q60597_2-oxoglutarate dehydroge.	sp|Q60597|ODO1_MOUSE	2-oxoglutarate dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Ogdh PE=1 SV=3	Q60597
Q8CHR6_Dihydropyrimidine dehydr.	sp|Q8CHR6|DPYD_MOUSE	Dihydropyrimidine dehydrogenase [NADP(+)]  OS=Mus musculus (Mouse) GN=Dpyd PE=1 SV=1	Q8CHR6
O08749_Dihydrolipoyl dehydrogen.	sp|O08749|DLDH_MOUSE	Dihydrolipoyl dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Dld PE=1 SV=2	O08749
Q3UEG6_Alanine--glyoxylate amin.	sp|Q3UEG6|AGT2_MOUSE	Alanine--glyoxylate aminotransferase 2, mitochondrial  OS=Mus musculus (Mouse) GN=Agxt2 PE=1 SV=1	Q3UEG6
Q8BVI4_Dihydropteridine reducta.	sp|Q8BVI4|DHPR_MOUSE	Dihydropteridine reductase  OS=Mus musculus (Mouse) GN=Qdpr PE=1 SV=2	Q8BVI4
P24456_Cytochrome P450 2D10	sp|P24456|CP2DA_MOUSE	Cytochrome P450 2D10  OS=Mus musculus (Mouse) GN=Cyp2d10 PE=1 SV=2	P24456
B5X0G2_Major urinary protein 17	sp|B5X0G2|MUP17_MOUSE	Major urinary protein 17  OS=Mus musculus (Mouse) GN=Mup17 PE=2 SV=2	B5X0G2
Q9DC50_Peroxisomal carnitine O-.	sp|Q9DC50|OCTC_MOUSE	Peroxisomal carnitine O-octanoyltransferase  OS=Mus musculus (Mouse) GN=Crot PE=1 SV=1	Q9DC50
P28474_Alcohol dehydrogenase cl.	sp|P28474|ADHX_MOUSE	Alcohol dehydrogenase class-3  OS=Mus musculus (Mouse) GN=Adh5 PE=1 SV=3	P28474
Q60932_Voltage-dependent anion-.	sp|Q60932|VDAC1_MOUSE	Voltage-dependent anion-selective channel protein 1  OS=Mus musculus (Mouse) GN=Vdac1 PE=1 SV=3	Q60932
Q71RI9_Kynurenine--oxoglutarate.	sp|Q71RI9|KAT3_MOUSE	Kynurenine--oxoglutarate transaminase 3  OS=Mus musculus (Mouse) GN=Kyat3 PE=1 SV=1	Q71RI9
Q9DBA8_Probable imidazoloneprop.	sp|Q9DBA8|HUTI_MOUSE	Probable imidazolonepropionase  OS=Mus musculus (Mouse) GN=Amdhd1 PE=1 SV=1	Q9DBA8
P97501_Dimethylaniline monooxyg.	sp|P97501|FMO3_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 3  OS=Mus musculus (Mouse) GN=Fmo3 PE=1 SV=1	P97501
Q99K51_Plastin-3	sp|Q99K51|PLST_MOUSE	Plastin-3  OS=Mus musculus (Mouse) GN=Pls3 PE=1 SV=3	Q99K51
P97328_Ketohexokinase	sp|P97328|KHK_MOUSE	Ketohexokinase  OS=Mus musculus (Mouse) GN=Khk PE=1 SV=1	P97328
Q9Z0X1_Apoptosis-inducing facto.	sp|Q9Z0X1|AIFM1_MOUSE	Apoptosis-inducing factor 1, mitochondrial  OS=Mus musculus (Mouse) GN=Aifm1 PE=1 SV=1	Q9Z0X1
Q8VCX1_3-oxo-5-beta-steroid 4-d.	sp|Q8VCX1|AK1D1_MOUSE	3-oxo-5-beta-steroid 4-dehydrogenase  OS=Mus musculus (Mouse) GN=Akr1d1 PE=1 SV=1	Q8VCX1
Q8BW75_Amine oxidase [flavin-co.	sp|Q8BW75|AOFB_MOUSE	Amine oxidase [flavin-containing] B  OS=Mus musculus (Mouse) GN=Maob PE=1 SV=4	Q8BW75
O88587_Catechol O-methyltransfe.	sp|O88587|COMT_MOUSE	Catechol O-methyltransferase  OS=Mus musculus (Mouse) GN=Comt PE=1 SV=2	O88587
P29758_Ornithine aminotransfera.	sp|P29758|OAT_MOUSE	Ornithine aminotransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Oat PE=1 SV=1	P29758
P11588_Major urinary protein 1	sp|P11588|MUP1_MOUSE	Major urinary protein 1  OS=Mus musculus (Mouse) GN=Mup1 PE=1 SV=1	P11588
Q78JT3_3-hydroxyanthranilate 3,.	sp|Q78JT3|3HAO_MOUSE	3-hydroxyanthranilate 3,4-dioxygenase  OS=Mus musculus (Mouse) GN=Haao PE=1 SV=1	Q78JT3
P60843_Eukaryotic initiation fa.	sp|P60843|IF4A1_MOUSE	Eukaryotic initiation factor 4A-I  OS=Mus musculus (Mouse) GN=Eif4a1 PE=1 SV=1	P60843
Q07417_Short-chain specific acy.	sp|Q07417|ACADS_MOUSE	Short-chain specific acyl-CoA dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Acads PE=1 SV=2	Q07417
Q8BWF0_Succinate-semialdehyde d.	sp|Q8BWF0|SSDH_MOUSE	Succinate-semialdehyde dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Aldh5a1 PE=1 SV=1	Q8BWF0
Q80XL6_Acyl-CoA dehydrogenase f.	sp|Q80XL6|ACD11_MOUSE	Acyl-CoA dehydrogenase family member 11  OS=Mus musculus (Mouse) GN=Acad11 PE=1 SV=2	Q80XL6
Q91XE0_Glycine N-acyltransferase	sp|Q91XE0|GLYAT_MOUSE	Glycine N-acyltransferase  OS=Mus musculus (Mouse) GN=Glyat PE=1 SV=1	Q91XE0
P42125_Enoyl-CoA delta isomeras.	sp|P42125|ECI1_MOUSE	Enoyl-CoA delta isomerase 1, mitochondrial  OS=Mus musculus (Mouse) GN=Eci1 PE=1 SV=2	P42125
Q9WU79_Proline dehydrogenase 1,.	sp|Q9WU79|PROD_MOUSE	Proline dehydrogenase 1, mitochondrial  OS=Mus musculus (Mouse) GN=Prodh PE=1 SV=2	Q9WU79
Q8R086_Sulfite oxidase, mitocho.	sp|Q8R086|SUOX_MOUSE	Sulfite oxidase, mitochondrial  OS=Mus musculus (Mouse) GN=Suox PE=1 SV=2	Q8R086
P17751_Triosephosphate isomerase	sp|P17751|TPIS_MOUSE	Triosephosphate isomerase  OS=Mus musculus (Mouse) GN=Tpi1 PE=1 SV=4	P17751
Q7TPR4_Alpha-actinin-1	sp|Q7TPR4|ACTN1_MOUSE	Alpha-actinin-1  OS=Mus musculus (Mouse) GN=Actn1 PE=1 SV=1	Q7TPR4
Q64521_Glycerol-3-phosphate deh.	sp|Q64521|GPDM_MOUSE	Glycerol-3-phosphate dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Gpd2 PE=1 SV=2	Q64521
Q9QXG4_Acetyl-coenzyme A synthe.	sp|Q9QXG4|ACSA_MOUSE	Acetyl-coenzyme A synthetase, cytoplasmic  OS=Mus musculus (Mouse) GN=Acss2 PE=1 SV=2	Q9QXG4
Q8CGC7_Bifunctional glutamate/p.	sp|Q8CGC7|SYEP_MOUSE	Bifunctional glutamate/proline--tRNA ligase  OS=Mus musculus (Mouse) GN=Eprs PE=1 SV=4	Q8CGC7
Q9JHI5_Isovaleryl-CoA dehydroge.	sp|Q9JHI5|IVD_MOUSE	Isovaleryl-CoA dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Ivd PE=1 SV=1	Q9JHI5
P11589_Major urinary protein 2	sp|P11589|MUP2_MOUSE	Major urinary protein 2  OS=Mus musculus (Mouse) GN=Mup2 PE=1 SV=1	P11589
P28665_Murinoglobulin-1	sp|P28665|MUG1_MOUSE	Murinoglobulin-1  OS=Mus musculus (Mouse) GN=Mug1 PE=1 SV=3	P28665
O88986_2-amino-3-ketobutyrate c.	sp|O88986|KBL_MOUSE	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial  OS=Mus musculus (Mouse) GN=Gcat PE=1 SV=2	O88986
Q61941_NAD(P) transhydrogenase,.	sp|Q61941|NNTM_MOUSE	NAD(P) transhydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Nnt PE=1 SV=2	Q61941
Q91WL5_Cytochrome P450 4A12A	sp|Q91WL5|CP4CA_MOUSE	Cytochrome P450 4A12A  OS=Mus musculus (Mouse) GN=Cyp4a12a PE=1 SV=2	Q91WL5
G3X982_Aldehyde oxidase 3	sp|G3X982|AOXC_MOUSE	Aldehyde oxidase 3  OS=Mus musculus (Mouse) GN=Aox3 PE=1 SV=1	G3X982
P07758_Alpha-1-antitrypsin 1-1	sp|P07758|A1AT1_MOUSE	Alpha-1-antitrypsin 1-1  OS=Mus musculus (Mouse) GN=Serpina1a PE=1 SV=4	P07758
Q9Z2I9_Succinate--CoA ligase [A.	sp|Q9Z2I9|SUCB1_MOUSE	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial  OS=Mus musculus (Mouse) GN=Sucla2 PE=1 SV=2	Q9Z2I9
Q9D8N0_Elongation factor 1-gamma	sp|Q9D8N0|EF1G_MOUSE	Elongation factor 1-gamma  OS=Mus musculus (Mouse) GN=Eef1g PE=1 SV=3	Q9D8N0
P16332_Methylmalonyl-CoA mutase.	sp|P16332|MUTA_MOUSE	Methylmalonyl-CoA mutase, mitochondrial  OS=Mus musculus (Mouse) GN=Mut PE=1 SV=2	P16332
O08709_Peroxiredoxin-6	sp|O08709|PRDX6_MOUSE	Peroxiredoxin-6  OS=Mus musculus (Mouse) GN=Prdx6 PE=1 SV=3	O08709
Q9QYG0_Protein NDRG2	sp|Q9QYG0|NDRG2_MOUSE	Protein NDRG2  OS=Mus musculus (Mouse) GN=Ndrg2 PE=1 SV=1	Q9QYG0
Q91V76_Ester hydrolase C11orf54.	sp|Q91V76|CK054_MOUSE	Ester hydrolase C11orf54 homolog  OS=Mus musculus (Mouse) PE=1 SV=1	Q91V76
Q62452_UDP-glucuronosyltransfer.	sp|Q62452|UD19_MOUSE	UDP-glucuronosyltransferase 1-9  OS=Mus musculus (Mouse) GN=Ugt1a9 PE=1 SV=3	Q62452
Q99MR8_Methylcrotonoyl-CoA carb.	sp|Q99MR8|MCCA_MOUSE	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial  OS=Mus musculus (Mouse) GN=Mccc1 PE=1 SV=2	Q99MR8
P17717_UDP-glucuronosyltransfer.	sp|P17717|UDB17_MOUSE	UDP-glucuronosyltransferase 2B17  OS=Mus musculus (Mouse) GN=Ugt2b17 PE=1 SV=1	P17717
Q6PB66_Leucine-rich PPR motif-c.	sp|Q6PB66|LPPRC_MOUSE	Leucine-rich PPR motif-containing protein, mitochondrial  OS=Mus musculus (Mouse) GN=Lrpprc PE=1 SV=2	Q6PB66
Q8VDN2_Sodium/potassium-transpo.	sp|Q8VDN2|AT1A1_MOUSE	Sodium/potassium-transporting ATPase subunit alpha-1  OS=Mus musculus (Mouse) GN=Atp1a1 PE=1 SV=1	Q8VDN2
P15626_Glutathione S-transferas.	sp|P15626|GSTM2_MOUSE	Glutathione S-transferase Mu 2  OS=Mus musculus (Mouse) GN=Gstm2 PE=1 SV=2	P15626
P12710_Fatty acid-binding prote.	sp|P12710|FABPL_MOUSE	Fatty acid-binding protein, liver  OS=Mus musculus (Mouse) GN=Fabp1 PE=1 SV=2	P12710
P54071_Isocitrate dehydrogenase.	sp|P54071|IDHP_MOUSE	Isocitrate dehydrogenase [NADP], mitochondrial  OS=Mus musculus (Mouse) GN=Idh2 PE=1 SV=3	P54071
Q91Z53_Glyoxylate reductase/hyd.	sp|Q91Z53|GRHPR_MOUSE	Glyoxylate reductase/hydroxypyruvate reductase  OS=Mus musculus (Mouse) GN=Grhpr PE=1 SV=1	Q91Z53
Q64435_UDP-glucuronosyltransfer.	sp|Q64435|UD16_MOUSE	UDP-glucuronosyltransferase 1-6  OS=Mus musculus (Mouse) GN=Ugt1a6 PE=1 SV=1	Q64435
Q91VD9_NADH-ubiquinone oxidored.	sp|Q91VD9|NDUS1_MOUSE	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial  OS=Mus musculus (Mouse) GN=Ndufs1 PE=1 SV=2	Q91VD9
Q9JHW2_Omega-amidase NIT2	sp|Q9JHW2|NIT2_MOUSE	Omega-amidase NIT2  OS=Mus musculus (Mouse) GN=Nit2 PE=1 SV=1	Q9JHW2
Q9EQH3_Vacuolar protein sorting.	sp|Q9EQH3|VPS35_MOUSE	Vacuolar protein sorting-associated protein 35  OS=Mus musculus (Mouse) GN=Vps35 PE=1 SV=1	Q9EQH3
Q8R0F9_SEC14-like protein 4	sp|Q8R0F9|S14L4_MOUSE	SEC14-like protein 4  OS=Mus musculus (Mouse) GN=Sec14l4 PE=1 SV=1	Q8R0F9
Q9JII6_Alcohol dehydrogenase [N.	sp|Q9JII6|AK1A1_MOUSE	Alcohol dehydrogenase [NADP(+)]  OS=Mus musculus (Mouse) GN=Akr1a1 PE=1 SV=3	Q9JII6
P68040_Receptor of activated pr.	sp|P68040|RACK1_MOUSE	Receptor of activated protein C kinase 1  OS=Mus musculus (Mouse) GN=Rack1 PE=1 SV=3	P68040
Q9D379_Epoxide hydrolase 1	sp|Q9D379|HYEP_MOUSE	Epoxide hydrolase 1  OS=Mus musculus (Mouse) GN=Ephx1 PE=1 SV=2	Q9D379
Q9D0R2_Threonine--tRNA ligase, .	sp|Q9D0R2|SYTC_MOUSE	Threonine--tRNA ligase, cytoplasmic  OS=Mus musculus (Mouse) GN=Tars PE=1 SV=2	Q9D0R2
Q9DBG3_AP-2 complex subunit beta	sp|Q9DBG3|AP2B1_MOUSE	AP-2 complex subunit beta  OS=Mus musculus (Mouse) GN=Ap2b1 PE=1 SV=1	Q9DBG3
P02088_Hemoglobin subunit beta-1	sp|P02088|HBB1_MOUSE	Hemoglobin subunit beta-1  OS=Mus musculus (Mouse) GN=Hbb-b1 PE=1 SV=2	P02088
P48036_Annexin A5	sp|P48036|ANXA5_MOUSE	Annexin A5  OS=Mus musculus (Mouse) GN=Anxa5 PE=1 SV=1	P48036
P26043_Radixin	sp|P26043|RADI_MOUSE	Radixin  OS=Mus musculus (Mouse) GN=Rdx PE=1 SV=3	P26043
Q9R0P3_S-formylglutathione hydr.	sp|Q9R0P3|ESTD_MOUSE	S-formylglutathione hydrolase  OS=Mus musculus (Mouse) GN=Esd PE=1 SV=1	Q9R0P3
Q9QZE5_Coatomer subunit gamma-1	sp|Q9QZE5|COPG1_MOUSE	Coatomer subunit gamma-1  OS=Mus musculus (Mouse) GN=Copg1 PE=1 SV=1	Q9QZE5
Q64459_Cytochrome P450 3A11	sp|Q64459|CP3AB_MOUSE	Cytochrome P450 3A11  OS=Mus musculus (Mouse) GN=Cyp3a11 PE=1 SV=1	Q64459
Q8CIM7_Cytochrome P450 2D26	sp|Q8CIM7|CP2DQ_MOUSE	Cytochrome P450 2D26  OS=Mus musculus (Mouse) GN=Cyp2d26 PE=1 SV=1	Q8CIM7
A3KMP2_Tetratricopeptide repeat.	sp|A3KMP2|TTC38_MOUSE	Tetratricopeptide repeat protein 38  OS=Mus musculus (Mouse) GN=Ttc38 PE=1 SV=2	A3KMP2
P80318_T-complex protein 1 subu.	sp|P80318|TCPG_MOUSE	T-complex protein 1 subunit gamma  OS=Mus musculus (Mouse) GN=Cct3 PE=1 SV=1	P80318
P22599_Alpha-1-antitrypsin 1-2	sp|P22599|A1AT2_MOUSE	Alpha-1-antitrypsin 1-2  OS=Mus musculus (Mouse) GN=Serpina1b PE=1 SV=2	P22599
Q60936_Atypical kinase COQ8A, m.	sp|Q60936|COQ8A_MOUSE	Atypical kinase COQ8A, mitochondrial  OS=Mus musculus (Mouse) GN=Coq8a PE=1 SV=2	Q60936
Q8VCC2_Liver carboxylesterase 1	sp|Q8VCC2|EST1_MOUSE	Liver carboxylesterase 1  OS=Mus musculus (Mouse) GN=Ces1 PE=1 SV=1	Q8VCC2
Q8CAY6_Acetyl-CoA acetyltransfe.	sp|Q8CAY6|THIC_MOUSE	Acetyl-CoA acetyltransferase, cytosolic  OS=Mus musculus (Mouse) GN=Acat2 PE=1 SV=2	Q8CAY6
Q9QZ85_Interferon-inducible GTP.	sp|Q9QZ85|IIGP1_MOUSE	Interferon-inducible GTPase 1  OS=Mus musculus (Mouse) GN=Iigp1 PE=1 SV=2	Q9QZ85
P80313_T-complex protein 1 subu.	sp|P80313|TCPH_MOUSE	T-complex protein 1 subunit eta  OS=Mus musculus (Mouse) GN=Cct7 PE=1 SV=1	P80313
Q8K0E8_Fibrinogen beta chain	sp|Q8K0E8|FIBB_MOUSE	Fibrinogen beta chain  OS=Mus musculus (Mouse) GN=Fgb PE=1 SV=1	Q8K0E8
Q61425_Hydroxyacyl-coenzyme A d.	sp|Q61425|HCDH_MOUSE	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Hadh PE=1 SV=2	Q61425
Q64516_Glycerol kinase	sp|Q64516|GLPK_MOUSE	Glycerol kinase  OS=Mus musculus (Mouse) GN=Gk PE=1 SV=2	Q64516
Q8VC28_Aldo-keto reductase fami.	sp|Q8VC28|AK1CD_MOUSE	Aldo-keto reductase family 1 member C13  OS=Mus musculus (Mouse) GN=Akr1c13 PE=1 SV=2	Q8VC28
Q00897_Alpha-1-antitrypsin 1-4	sp|Q00897|A1AT4_MOUSE	Alpha-1-antitrypsin 1-4  OS=Mus musculus (Mouse) GN=Serpina1d PE=1 SV=1	Q00897
Q8BH95_Enoyl-CoA hydratase, mit.	sp|Q8BH95|ECHM_MOUSE	Enoyl-CoA hydratase, mitochondrial  OS=Mus musculus (Mouse) GN=Echs1 PE=1 SV=1	Q8BH95
Q00898_Alpha-1-antitrypsin 1-5	sp|Q00898|A1AT5_MOUSE	Alpha-1-antitrypsin 1-5  OS=Mus musculus (Mouse) GN=Serpina1e PE=1 SV=1	Q00898
Q8QZS1_3-hydroxyisobutyryl-CoA .	sp|Q8QZS1|HIBCH_MOUSE	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial  OS=Mus musculus (Mouse) GN=Hibch PE=1 SV=1	Q8QZS1
